|,id,name,rating,ratings,vicinity,geometry__location__lat,geometry__location__lng,geometry__viewport,geometry__viewport__lat,geometry__viewport__lng,website,address,city,zipcode_area,types__001,types__002,types__003,types__004,types__005,types__006,types__007,types__008,types__009
ChIJy4dAYVS_woAR9UkpgxQFdrA,ChIJy4dAYVS_woAR9UkpgxQFdrA,"New Digital Guru, Inc.",,,"5224 De Longpre Avenue, Los Angeles",34.0965765,-118.3040968,northeast,34.09796873,-118.3027482,http://newdigitalguru.com/,5224 De Longpre Avenue, Los Angeles,90027,,,,,,,,,
ChIJSVqJa1S_woARwjC9o3JVlIQ,ChIJSVqJa1S_woARwjC9o3JVlIQ,Oasis Water Store | Alkaline pH9.5+,4.6,31,"5222 Sunset Boulevard, Los Angeles",34.0973661,-118.3038554,northeast,34.09883728,-118.3025821,,5222 Sunset Boulevard, Los Angeles,90027,food,,,,,,,,
ChIJBfrWalS_woARl_zuqiIw7Do,ChIJBfrWalS_woARl_zuqiIw7Do,Ambartsumyan Hasmik DDS,4.3,6,"5222 Sunset Boulevard, Los Angeles",34.0974382,-118.3041652,northeast,34.09887333,-118.3027046,,5222 Sunset Boulevard, Los Angeles,90027,dentist,health,,,,,,,
ChIJf1w5cFS_woAR1vey8OUVkDs,ChIJf1w5cFS_woAR1vey8OUVkDs,Velvet Earth,,,"5279 1/2 De Longpre Avenue, Los Angeles",34.0970066,-118.3046206,northeast,34.09818318,-118.3032721,,5279 1/2 De Longpre Avenue, Los Angeles,90027,store,,,,,,,,
ChIJn2yn9Eu_woAR2fWqd1n_atQ,ChIJn2yn9Eu_woAR2fWqd1n_atQ,Sunset Supercare Spa,,,"5226 Sunset Boulevard, Los Angeles",34.0974375,-118.3041618,northeast,34.09887298,-118.3027029,https://sunset-supercare-spa.business.site/,5226 Sunset Boulevard, Los Angeles,90027,spa,,,,,,,,
ChIJ86vwsn6_woARJe2GNwRlOSI,ChIJ86vwsn6_woARJe2GNwRlOSI,golden Sunshine spa,2.3,3,"5226 Sunset Boulevard, Los Angeles",34.0974375,-118.3041618,northeast,34.09887298,-118.3027029,https://goldensunshinespa.business.site/?utm_source=gmb&utm_medium=referral,5226 Sunset Boulevard, Los Angeles,90027,spa,,,,,,,,
ChIJL_-VGBa_woARbCwOnMnSitI,ChIJL_-VGBa_woARbCwOnMnSitI,Waterland,5,1,"5222 Sunset Boulevard, Los Angeles",34.0974404,-118.3042303,northeast,34.09887443,-118.3027372,,5222 Sunset Boulevard, Los Angeles,90027,food,,,,,,,,
ChIJaw2Sa1S_woAR6v4J2NYr-Qs,ChIJaw2Sa1S_woAR6v4J2NYr-Qs,Sun of massage,3.5,8,"5226 Sunset Boulevard, Los Angeles",34.0974392,-118.3041364,northeast,34.09887383,-118.3026902,http://sunmassage.grouppayless.com/,5226 Sunset Boulevard, Los Angeles,90027,,,,,,,,,
ChIJf5rsP1S_woARDiFEYKSW9OM,ChIJf5rsP1S_woARDiFEYKSW9OM,Druzhba Meat Market,4.4,20,"5222 Sunset Boulevard, Los Angeles",34.0974432,-118.3039791,northeast,34.09887583,-118.3026254,http://orderdruzhbadeli.com/,5222 Sunset Boulevard, Los Angeles,90027,food,,,,,,,,
ChIJ6Xb1FlS_woARSv4fYqfLX2M,ChIJ6Xb1FlS_woARSv4fYqfLX2M,Mush Bakery,4.6,45,"5224 Sunset Boulevard, Los Angeles",34.0974603,-118.3040705,northeast,34.09888438,-118.3026573,http://mush-bakery.poi.place/,5224 Sunset Boulevard, Los Angeles,90027,bakery,food,store,,,,,,
ChIJPyuNbFS_woARX2McvCpNF80,ChIJPyuNbFS_woARX2McvCpNF80,Lucky Spot,3,1,Los Angeles,34.0974999,-118.3042757,northeast,34.09890418,-118.3027599,,,Los Angeles,90027,,,,,,,,,
ChIJxy2NbFS_woARSHf-euQd14w,ChIJxy2NbFS_woARSHf-euQd14w,Sasoun Perfumes & Cigarettes,5,1,Los Angeles,34.0975013,-118.3042748,northeast,34.09890488,-118.3027594,,,Los Angeles,90027,store,,,,,,,,
ChIJFRdwglG_woAR8HFLDFixB-k,ChIJFRdwglG_woAR8HFLDFixB-k,Hollywood Stars Inn,3.5,271,"5435 Sunset Boulevard, Los Angeles",34.0984466,-118.3084044,northeast,34.09968683,-118.3070604,http://hollywoodstarsinn.com/,5435 Sunset Boulevard, Los Angeles,90027,lodging,,,,,,,,
ChIJ8eYcm1G_woARORoibsElD3k,ChIJ8eYcm1G_woARORoibsElD3k,Walgreens,3,73,"5451 Sunset Boulevard, Los Angeles",34.0983314,-118.3087246,northeast,34.09967868,-118.3074429,https://www.walgreens.com/locator/walgreens-5451+w+sunset+blvd-los+angeles-ca-90027/id=7036,5451 Sunset Boulevard, Los Angeles,90027,drugstore,convenience_store,food,health,clothing_store,store,,,
ChIJe6bkh1G_woARNdL44cd51RM,ChIJe6bkh1G_woARNdL44cd51RM,McDonald's,3.7,1516,"5450 Sunset Boulevard, Los Angeles",34.0977918,-118.3089271,northeast,34.09920098,-118.3076443,https://www.mcdonalds.com/us/en-us/location/CA/LOS-ANGELES/5450-SUNSET-BLVD/10794.html?cid=RF:YXT:GMB::Clicks,5450 Sunset Boulevard, Los Angeles,90027,cafe,restaurant,food,store,,,,,
ChIJf5rdhFG_woARkn5olUj80B0,ChIJf5rdhFG_woARkn5olUj80B0,Western Union,1,2,"Walgreens, 5451 Sunset Boulevard, Los Angeles",34.0983606,-118.30872,northeast,34.09970783,-118.3074412,https://locations.westernunion.com/us/ca/los-angeles/09307b2266835e09ec622086bc0eaa8b?utm_source=google&utm_medium=distrib&utm_campaign=google-distrib,Walgreens, 5451 Sunset Boulevard,90027,finance,,,,,,,,
ChIJ8eYcm1G_woARVEE7wk8QjBM,ChIJ8eYcm1G_woARVEE7wk8QjBM,Redbox,3,1,"5451 Sunset Boulevard, Los Angeles",34.0983606,-118.30872,northeast,34.09970783,-118.3074412,https://www.redbox.com/locations/california/los-angeles/90027/18719,5451 Sunset Boulevard, Los Angeles,90027,movie_rental,store,,,,,,,
ChIJPbGaj1G_woAR43roD3S8NAE,ChIJPbGaj1G_woAR43roD3S8NAE,Verizon Authorized Retailer – GoWireless,3.7,69,"1500 North Western Avenue, Los Angeles",34.0983012,-118.3090599,northeast,34.09964853,-118.3078036,https://www.gowireless.com/stores/ca/los-angeles/los-angeles-north-western-avenue/?y_source=1_MzQ5MjkyNi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,1500 North Western Avenue, Los Angeles,90027,electronics_store,store,,,,,,,
ChIJT-JehFG_woARqX1y1Mg40BM,ChIJT-JehFG_woARqX1y1Mg40BM,Verizon,,,"5451 Sunset Boulevard, Los Angeles",34.0982781,-118.3086753,northeast,34.09962478,-118.3074173,,5451 Sunset Boulevard, Los Angeles,90027,store,,,,,,,,
ChIJaW7lhFG_woARZ6_dOI0bHTI,ChIJaW7lhFG_woARZ6_dOI0bHTI,Walgreens Pharmacy,3.6,14,"5451 Sunset Boulevard, Los Angeles",34.0983249,-118.3087196,northeast,34.09967263,-118.3074403,https://www.walgreens.com/locator/walgreens-5451+w+sunset+blvd-los+angeles-ca-90027/id=7036,5451 Sunset Boulevard, Los Angeles,90027,pharmacy,health,store,,,,,,
ChIJaW7lhFG_woAR3Ea_EnM7vnc,ChIJaW7lhFG_woAR3Ea_EnM7vnc,Walgreens Photo,3.1,9,"5451 Sunset Boulevard, Los Angeles",34.0983314,-118.3087246,northeast,34.09967868,-118.3074429,https://www.walgreens.com/locator/walgreens-5451+w+sunset+blvd-los+angeles-ca-90027/id=7036,5451 Sunset Boulevard, Los Angeles,90027,electronics_store,home_goods_store,store,,,,,,
ChIJ6f8AQKi_woARllCtzdbQzVE,ChIJ6f8AQKi_woARllCtzdbQzVE,FedEx OnSite,2.3,7,"5451 Sunset Boulevard, Los Angeles",34.0983444,-118.3086756,northeast,34.09969108,-118.3074187,https://local.fedex.com/en-us/ca/los-angeles/bh1ad/?cmp=LOC-1001545-3-2-971-1110000-US-US-EN-GPLFEDEXONSITEL,5451 Sunset Boulevard, Los Angeles,90027,,,,,,,,,
ChIJX9xozVO_woARVXJtVHN18Qo,ChIJX9xozVO_woARVXJtVHN18Qo,Food 4 Less,4.2,1301,"5420 Sunset Boulevard, Los Angeles",34.0974324,-118.3078938,northeast,34.09881183,-118.306278,https://www.food4less.com/stores/details/704/00362?cid=loc_70400362_gmb,5420 Sunset Boulevard, Los Angeles,90027,grocery_or_supermarket,food,store,,,,,,
ChIJS8_hv6W_woARmxx1CiSRzWo,ChIJS8_hv6W_woARmxx1CiSRzWo,Can Bakery,5,1,"5409 Sunset Boulevard, Los Angeles",34.0984313,-118.3076297,northeast,34.09961493,-118.3062843,,5409 Sunset Boulevard, Los Angeles,90027,restaurant,food,,,,,,,
ChIJeTzJ5FO_woARu9ziaRHwV2U,ChIJeTzJ5FO_woARu9ziaRHwV2U,Economy Inn Hollywood,3.6,243,"5308 Sunset Boulevard, Los Angeles",34.097752,-118.3060469,northeast,34.09910068,-118.3047427,http://www.economyinnhollywood.com/,5308 Sunset Boulevard, Los Angeles,90027,lodging,,,,,,,,
ChIJjflu3lO_woARQhLKwF0v7uw,ChIJjflu3lO_woARQhLKwF0v7uw,Bill's Liquor,4.4,28,"5334 Sunset Boulevard, Los Angeles",34.0979068,-118.3068463,northeast,34.09935118,-118.3055054,,5334 Sunset Boulevard, Los Angeles,90027,liquor_store,store,,,,,,,
ChIJS9ZkIvO4woARtIUJUkNHs3w,ChIJS9ZkIvO4woARtIUJUkNHs3w,Los Feliz Room Additions & Remodeling,5,22,"1430 North Serrano Avenue, Los Angeles",34.097706,-118.306858,northeast,34.09905343,-118.3056205,https://los-feliz-room-additions-remodeling.business.site/,1430 North Serrano Avenue, Los Angeles,90027,home_goods_store,general_contractor,store,,,,,,
ChIJiQzC5lO_woARs9KP7uTZUTA,ChIJiQzC5lO_woARs9KP7uTZUTA,Hollywood Mikes,5,1,"5322 Sunset Boulevard, Los Angeles",34.0979552,-118.3064959,northeast,34.09930393,-118.3050838,,5322 Sunset Boulevard, Los Angeles,90027,store,,,,,,,,
ChIJcZS85VO_woAR4_o-xdZoXEI,ChIJcZS85VO_woAR4_o-xdZoXEI,Anna's Beauty Salon,3,1,"5314 Sunset Boulevard A, Los Angeles",34.0978719,-118.3062467,northeast,34.09922113,-118.3049594,https://annas-beauty-salon.business.site/,5314 Sunset Boulevard A, Los Angeles,90027,beauty_salon,,,,,,,,
ChIJd_gA31O_woARIJ5z4zRt2hg,ChIJd_gA31O_woARIJ5z4zRt2hg,Kodi Android Cable TV,,,"5350 Sunset Boulevard, Los Angeles",34.0980797,-118.306934,northeast,34.09941368,-118.3055847,,5350 Sunset Boulevard, Los Angeles,90027,fire_station,,,,,,,,
ChIJ5er-41O_woARK5Cdoyocy-Q,ChIJ5er-41O_woARK5Cdoyocy-Q,Akob Trucking,,,"5330 Sunset Boulevard, Los Angeles",34.0980825,-118.3063601,northeast,34.09943163,-118.3050535,,5330 Sunset Boulevard, Los Angeles,90027,moving_company,,,,,,,,
ChIJQ1OKMQm_woAR5aKQ1MUCMUU,ChIJQ1OKMQm_woAR5aKQ1MUCMUU,A&P Tire Service 2,4.8,60,"5300 Sunset Boulevard, Los Angeles",34.0976737,-118.3059165,northeast,34.09902533,-118.3045196,,5300 Sunset Boulevard, Los Angeles,90027,car_repair,store,,,,,,,
ChIJFdVdDFS_woARSjnzL2H3okA,ChIJFdVdDFS_woARSjnzL2H3okA,99 Cents Only Stores,4.2,1146,"5270 Sunset Boulevard, Los Angeles",34.097763,-118.304955,northeast,34.09906328,-118.3034945,http://99only.com/store/Sunset/,5270 Sunset Boulevard, Los Angeles,90027,supermarket,grocery_or_supermarket,furniture_store,home_goods_store,food,store,,,
ChIJ_1FR8FO_woARFt06KFednJw,ChIJ_1FR8FO_woARFt06KFednJw,The Smog Check Center Star Station,4.9,43,"5300 Sunset Boulevard #1, Los Angeles",34.0975613,-118.3057935,northeast,34.09893038,-118.3044446,https://www.yelp.com/biz/the-smog-check-center-star-station-los-angeles-2,5300 Sunset Boulevard #1, Los Angeles,90027,car_repair,,,,,,,,
ChIJu5pA8FO_woARxB9d_oQ84Jo,ChIJu5pA8FO_woARxB9d_oQ84Jo,Eurozone Motors,4.9,135,"5300 Sunset Boulevard A, Los Angeles",34.097929,-118.305924,northeast,34.09922223,-118.3045191,https://www.eurozonemotors.com/,5300 Sunset Boulevard A, Los Angeles,90027,car_repair,,,,,,,,
ChIJY4Yc-FO_woARqtHpUcid8QU,ChIJY4Yc-FO_woARqtHpUcid8QU,Sunset Wheels & Tires,4.5,35,"5280 Sunset Boulevard, Los Angeles",34.0977161,-118.3054033,northeast,34.09910018,-118.3040692,http://www.sunsetwheelstires.com/,5280 Sunset Boulevard, Los Angeles,90027,car_repair,,,,,,,,
ChIJ7d-i4ky_woARe6EUuZ0i7Co,ChIJ7d-i4ky_woARe6EUuZ0i7Co,Auto Body Care,5,2,"5300 Sunset Boulevard, Los Angeles",34.0979447,-118.3058382,northeast,34.09923313,-118.3044692,,5300 Sunset Boulevard, Los Angeles,90027,car_repair,,,,,,,,
ChIJc2wbYdW_woARJ_cNtc-E6qU,ChIJc2wbYdW_woARJ_cNtc-E6qU,THE SHOP,,,"5300 Sunset Boulevard #2, Los Angeles",34.0979447,-118.3058382,northeast,34.09923313,-118.3044692,,5300 Sunset Boulevard #2, Los Angeles,90027,car_repair,,,,,,,,
ChIJrxO_Fxa_woARhTWwMOTi-l4,ChIJrxO_Fxa_woARhTWwMOTi-l4,Ceramic Pro Los Angeles,5,1,"5300 Sunset Boulevard Suite 6, Los Angeles",34.0979447,-118.3058382,northeast,34.09923313,-118.3044692,http://www.rapidwindowtinting.com/ceramic-pro-los-angeles/,5300 Sunset Boulevard Suite 6, Los Angeles,90027,,,,,,,,,
ChIJdap4LlbGwoARDqkENO4QYfg,ChIJdap4LlbGwoARDqkENO4QYfg,Rapid Window Tinting Los Angeles | Tint | LA,4.9,287,"5300 Sunset Boulevard Suite 6, Los Angeles",34.0979447,-118.3058382,northeast,34.09923313,-118.3044692,http://www.rapidwindowtinting.com/,5300 Sunset Boulevard Suite 6, Los Angeles,90027,car_repair,,,,,,,,
ChIJ1-x9-VO_woARqhzWtsdrzn0,ChIJ1-x9-VO_woARqhzWtsdrzn0,"Stuart E. Siegel, MD",,,"4650 Sunset Boulevard, Los Angeles",34.098112,-118.3056424,northeast,34.09942948,-118.304293,http://www.chla.org/,4650 Sunset Boulevard, Los Angeles,90027,doctor,health,,,,,,,
ChIJb2C7-1O_woARSdeF8Qg92BA,ChIJb2C7-1O_woARSdeF8Qg92BA,Pinto Calvo Construction,3,1,"5302 Sunset Boulevard, Los Angeles",34.0979786,-118.3059108,northeast,34.09939248,-118.3045631,,5302 Sunset Boulevard, Los Angeles,90027,general_contractor,,,,,,,,
ChIJtyQL8Em_woARhLOkMu6F6io,ChIJtyQL8Em_woARhLOkMu6F6io,99 cent,4.5,4,"5270 Sunset Boulevard, Los Angeles",34.097797,-118.3048465,northeast,34.09914543,-118.3034458,,5270 Sunset Boulevard, Los Angeles,90027,food,,,,,,,,
ChIJm4n3-FO_woAR8pkB2AIeDZ0,ChIJm4n3-FO_woAR8pkB2AIeDZ0,American Radio Network,3.3,34,"5287 Sunset Boulevard, Los Angeles",34.098289,-118.305443,northeast,34.09962233,-118.3041934,http://www.americanradionetwork.com/,5287 Sunset Boulevard, Los Angeles,90027,,,,,,,,,
ChIJiW5p7VO_woARsqIBaWXondE,ChIJiW5p7VO_woARsqIBaWXondE,Hobart Laramar Office,,,"1415 North Hobart Boulevard, Los Angeles",34.0972721,-118.3060758,northeast,34.09863918,-118.3046944,,1415 North Hobart Boulevard, Los Angeles,90027,,,,,,,,,
ChIJrcq7P1S_woARG8cImAled_s,ChIJrcq7P1S_woARG8cImAled_s,Hollywood Banquet Hall,4.1,55,"5214 Sunset Boulevard, Los Angeles",34.0978725,-118.3038293,northeast,34.09911113,-118.3025458,http://www.hollywoodbanquethall.com/,5214 Sunset Boulevard, Los Angeles,90027,,,,,,,,,
ChIJOe7kPVS_woAR9Sxm7mXjqMc,ChIJOe7kPVS_woAR9Sxm7mXjqMc,Vatican Banquet Hall & Restaurant,5,4,"5214 Sunset Boulevard, Los Angeles",34.097883,-118.3036995,northeast,34.09911638,-118.3024809,http://www.vaticanbanquethall.com/,5214 Sunset Boulevard, Los Angeles,90027,,,,,,,,,
ChIJu1UdFlS_woARN535CKT9Na4,ChIJu1UdFlS_woARN535CKT9Na4,Goldstar Bakery,4.5,71,"5216 Sunset Boulevard, Los Angeles",34.0978095,-118.3038068,northeast,34.09907963,-118.3025345,http://www.goldstarbakery.com/,5216 Sunset Boulevard, Los Angeles,90027,bakery,food,store,,,,,,
ChIJv6esalS_woARXyOWee1hMiI,ChIJv6esalS_woARXyOWee1hMiI,Milena Bakery,,,Los Angeles,34.0977344,-118.3038425,northeast,34.09904208,-118.3025524,,,Los Angeles,90027,bakery,food,store,,,,,,
ChIJW7egalS_woARCe6c9gV2PLM,ChIJW7egalS_woARCe6c9gV2PLM,The Laundry Room,4.3,27,"5218 Sunset Boulevard, Los Angeles",34.0977778,-118.3038417,northeast,34.09906378,-118.302552,https://laundryroomhlwd.com/,5218 Sunset Boulevard, Los Angeles,90027,laundry,,,,,,,,
ChIJJ7OKt16_woAR4I5VlwO3HRs,ChIJJ7OKt16_woAR4I5VlwO3HRs,Caesar Cuts Barbershop,,,"5220 Sunset Boulevard, Los Angeles",34.097619,-118.303839,northeast,34.09899483,-118.3025506,,5220 Sunset Boulevard, Los Angeles,90027,hair_care,health,,,,,,,
ChIJX2bsFlS_woARMfwIobS4lgE,ChIJX2bsFlS_woARMfwIobS4lgE,Colour Nails & Spa,3.8,130,"5230 Sunset Boulevard, Los Angeles",34.0975103,-118.3043207,northeast,34.09890933,-118.3027824,http://colour-nails-spa.poi.place/,5230 Sunset Boulevard, Los Angeles,90027,beauty_salon,,,,,,,,
ChIJdd0x38G_woARrzvuUh1hxRo,ChIJdd0x38G_woARrzvuUh1hxRo,Brian & Sons Auto Transport,,,"5232 Sunset Boulevard, Los Angeles",34.098008,-118.3040692,northeast,34.09935658,-118.3026702,,5232 Sunset Boulevard, Los Angeles,90027,moving_company,,,,,,,,
